subject,instance,optimal_length,human_length,complete,rt,nodes_expanded,skipped,trial_number
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-1,8,13,True,78.5600001812,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-2,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0
andra.log,Jam-3,8,13,True,86.1199998856,NA,False,0

